,c2_XM,c2_YM
2_42_45,20973.503603702,1304.083881219
4_27_3,31614.708849944,5854.068690665
3_72_44,27337.394926569,5949.275056492
6_45_30,50434.731824358,2050.483049982
7_12_15,55108.158612653,2656.044439366
9_68_21,72726.61788324799,2019.020448396
1_86_66,14173.963113748,5198.457091998
8_6_58,63388.553113834,2684.142090793
5_32_4,43749.400718299,4369.010626695
2_4_17,22105.068673086,1699.2210448320002
0_38_41,5074.795091975,2627.881695639
3_81_16,25758.614464876,4735.277296507
9_16_68,70408.337860182,1707.1619880279998
4_58_29,31735.825824099,3545.317447332
6_85_18,47910.948723857,4867.506502275
6_36_76,45681.194853505,5885.691854553001
2_69_81,20670.815756002,5835.176822928001
4_29_94,32319.883792824,1721.173718549
3_22_58,27241.494997337,3927.028777911
0_82_24,6971.972411609,5556.567778504001
8_50_68,61689.60139885,1377.001190006
4_72_14,32029.326117116,2518.248545225
0_78_68,6071.020380475999,5178.269360101
1_0_48,9113.299624461,5175.55767282
3_18_9,26762.395409782,4132.035474363
6_71_30,46396.914233478,4557.497113827
3_43_74,28375.638841828,1940.730941936
2_83_34,21986.294717887,2201.950079775
7_39_89,55388.385125997,1455.0673513289998
3_4_71,29345.922653529,2924.075453316
1_29_61,14383.475496018998,1659.437761135
6_11_34,49931.137756149,4781.630348007
5_7_69,44136.088818503,5980.874438917
1_30_45,10967.779099049,3562.253238055
7_35_54,57118.129760284006,2759.311434611
4_47_18,33643.807518588,3642.3598137
1_43_2,9238.736797594,2944.026821676
2_68_1,20544.391579216,5737.622927666999
1_12_65,13081.591825342,5685.490388071999
3_4_36,28566.752161903,5137.391495245
5_59_41,39696.79725781,6168.053083515
0_23_8,4875.420334390999,1316.304132343
1_61_29,8724.434679521999,4165.619236576
0_49_2,5694.596547767,1618.659469756
8_76_69,65634.623754004,2102.486451341
2_57_28,16347.445305171,1272.829451347
8_81_42,62289.132440472,5499.561501873
5_39_92,41111.986516783,5483.965682799
9_77_9,72390.33087479,5533.689548094
9_73_25,73177.27159626,5369.702034167
4_8_40,31738.510854293,1829.211610237
4_78_35,35836.033285507,2134.115462493
5_1_20,42546.77032092,1537.539300489
4_3_51,31426.703110781,5259.137903209
9_15_8,70070.599259252,2228.992152926
4_30_48,32335.428591766,5458.766623615
0_8_82,6806.306040024,2747.280828376
9_35_44,70677.770088413,3404.168741145
9_76_12,70066.80054552799,2629.789330835
1_51_55,14058.827709055,2676.093174847
0_71_31,4141.987578518,6044.945947383
5_42_70,40426.472414651,4965.717767417
3_7_0,27577.216281847,1510.049835077
8_28_3,62307.840692847,3483.98431895
